chr ratio.mean ratio.median zscore.mean zscore.median
1 -0.00114312634001 0.00188624494016 0.050249478493 0.0837803050784
2 -0.00364460099022 -0.00279423273723 0.0100482822043 0.00376508523415
3 -0.00213035049277 -0.00239334926369 0.0358141629064 0.0103449634051
4 -0.00507167847621 -0.00321883539017 -0.01293423965 -0.00325053147493
5 -0.000937904951329 -0.000247364882766 0.0548240709891 0.0459646142417
6 0.00199718285359 0.00423380737716 0.106139844286 0.123349686302
7 -0.000967108282834 -0.00141477287777 0.0543840769139 0.0272449551047
8 -0.00285340574585 -0.000854472123527 0.023235984367 0.0367223786249
9 -0.0029482166278 -0.00258851541524 0.020011622676 0.00712724508525
10 -0.00403775006407 -0.00382352283322 0.00375504132292 -0.0130543537627
11 0.000272491061894 0.0041801245504 0.075440495545 0.118735035891
12 0.00120490103263 0.00350517616301 0.0903147823954 0.108750651157
13 -0.00638409255242 -0.00743016886552 -0.0319462746074 -0.0740449870406
14 -0.000106759405938 0.00146924739817 0.0694941954146 0.0751193412643
15 9.88711415468e-05 0.00130686111246 0.0759445354096 0.0740022693106
16 -0.00359749401839 -0.00495054955024 0.0100213824365 -0.0320036081632
17 0.000679786764808 0.00230019127219 0.0819534555574 0.0901793241695
18 -0.00958845523227 -0.00860972192097 -0.0910030115464 -0.092206664057
19 0.0122807094891 0.0118274130538 0.273612297482 0.251102539315
20 -0.00465048671036 -0.00134865893338 -0.0028542356715 0.0284663778861
21 0.103666380347 0.101954616614 1.88982003046 1.8363835519
22 -0.0102809168332 -0.0139214449745 -0.0953439026552 -0.176573195734
X -0.00664702119287 -0.00538855623359 -0.0400257300099 -0.0391997073146
Standard deviation of mean chromosomal ratios: 0.0220354915498
Median of all within-segment ratio variances: 0.00377949476555
